ficus_host,wasp,voucher,mean_clutch_size,mean_nfigs,sd_clutch_size,sd_nfigs,mean_males,mean _males_nfigs,sd_males,sd_males_nfigs,mean_females,mean_nfigs,sd_females,sd_females_nfigs,mean_sex_ratio,mean _sex_ratio_nfigs,sd_sex_ratio,sd_sex_ratio_nfigs,single_foundress_frequency,mean_figflowernumber,sd_figflowernumber,SE_males,SE_females,SE_clutch,mv_males,mv_females,mv_clutch
natalensis_leprieuri,Alfonsiella_fimbriata,JRAS01935_0189,69.46236559,93,18.01607806,93,7.784946237,93,3.241680649,93,61.67741935,93,17.42921755,93,0.117177859,93,0.05795692,93,0.823,272.64,59.22,0.034856781,0.187410941,0.193721269,0.306645633,5.699315865,6.693553515
lutea,Allotriozoon_heterandromorphum,JRAS00411_0189,222.6388889,36,37.4579023,36,19.63888889,36,3.261487634,36,203,36,35.66270561,36,0.09,,0.015379736,,0.448,626,NA,0.090596879,0.990630711,1.040497286,0.306645633,5.699315865,6.693553515
erecta,Podosiphaga_nipponica,JRAS02395_0189,180.9308667,45,78.18026667,45,16.98547646,45,NA,NA,163.9453902,45,NA,NA,0.0937418,45,0.051803815,36,0.584515031,934,303,NA,NA,1.737339259,0.306645633,5.699315865,6.693553515
sycomorus,Ceratosolen_arabicus,JRAS08619_0189,240.8571429,7,28.521504,7,24.28571429,7,6.600865744,7,216.5714286,7,24.05450161,7,0.099775032,7,0.02141275,7,0.604,854.9,262.53,0.942980821,3.436357373,4.074500571,0.306645633,5.699315865,6.693553515
sur,Ceratosolen_capensis,JRAS01533_0595,225.4758621,29,85.73745925,29,30.98041667,24,12.40588235,17,197.26125,24,85.63529412,17,0.163024897,29,0.064570025,29,0.454541,1938,NA,0.729757785,5.037370242,2.956464112,0.306645633,5.699315865,6.693553515
auriculata,Ceratosolen_emarginatus,JRAS05379_0199,589.55,20,212.2102917,20,122.65,20,44.28172369,20,466.9,20,168.480797,20,0.208355445,20,0.010188834,20,0.002,10509,2947.01,2.214086185,8.42403985,10.61051459,0.306645633,5.699315865,6.693553515
racemosa,Ceratosolen_fusciceps,JRAS05399_0199,538.25,20,157.1318169,20,75.2,20,23.46239993,20,463.05,20,135.0015497,20,0.140174175,20,0.014248199,20,0.0775428,1299.13,125.62,1.173119997,6.750077485,7.856590845,0.306645633,5.699315865,6.693553515
sycomorus,Ceratosolen_galili,JRAS00230_2289,202.7,10,40.80590916,10,27.3,10,11.23536085,10,175.4,10,36.54282115,10,0.13622546,10,0.047091745,10,0.444,854.9,262.53,1.123536085,3.654282115,4.080590916,0.306645633,5.699315865,6.693553515
semicordata,Ceratosolen_gravelyi,JRAS02778_0195,283.35,20,100.4014442,20,45.1,20,19.22690002,20,238.25,20,82.32277615,20,0.156008783,20,0.019627535,20,0.627906977,2005.2,556.4,0.961345001,4.116138808,5.02007221,0.306645633,5.699315865,6.693553515
hispida,Ceratosolen_marchali,JRAS08343_0189,247.628,94,131.733,94,39.372852,94,NA,NA,208.255148,94,NA,NA,0.159,94,0.101,94,0.379,732,287.02,NA,NA,1.401414894,0.306645633,5.699315865,6.693553515
hispida,Ceratosolen_solmsi,GENO00012_0101,201.3505155,97,96.16695998,97,29.83505155,97,14.60356721,97,171.5154639,97,85.14816907,97,0.156478829,97,0.049950308,97,0.1,732,287.02,0.150552239,0.877816176,0.991411959,0.306645633,5.699315865,6.693553515
ottoniifolia,Courtella_gabonensis,JRAS00341_0195,304.1333333,15,57.08873628,15,19.6,15,3.887709572,15,281.0666667,15,59.36745942,15,0.06688,15,0.015535361,15,0.959,1055,NA,0.259180638,3.957830628,3.805915752,0.306645633,5.699315865,6.693553515
burtt_davyi,Elisabethiella_baijnathi,JRAS02619_0189,65.5,6,15.82087229,6,7,6,2.75680975,6,58.5,6,15.12283042,6,0.109166667,6,0.039219468,6,0.765027322,181.92,31.96,0.459468292,2.520471737,2.636812048,0.306645633,5.699315865,6.693553515
abutilifolia,Elisabethiella_comptoni,JRAS00237_0195,152.4705882,17,43.14382581,17,12.17647059,17,5.692487309,17,140.2941176,17,43.36583434,17,0.086521371,17,0.051870694,17,0.657,869,NA,0.334852195,2.550931432,2.537872106,0.306645633,5.699315865,6.693553515
burkei,Elisabethiella_stuckenbergi,JRAS08434_0189,64.89473684,19,20.47191772,19,6,19,2.309401077,19,58.89473684,19,19.52176773,19,0.09788401,19,0.036904141,19,0.957,339.3,97.77,0.121547425,1.027461459,1.077469354,0.306645633,5.699315865,6.693553515
benjamina,Eupristina_koningsbergeri,JRAS07710_0189,179.3,20,25.13563208,20,37.55,20,5.072889761,20,141.75,20,20.74627424,20,0.210055218,20,0.013011884,20,0.331753555,354,NA,0.253644488,1.037313712,1.256781604,0.306645633,5.699315865,6.693553515
montana,Kradibia_tentacularis,JRAS02688_0101,59.7106383,94,25.06527954,94,4.795744681,94,2.005107263,94,54.91489362,94,24.36780965,94,0.095341953,94,0.075931415,94,0.372,120,34,0.021330928,0.259232018,0.26665191,0.306645633,5.699315865,6.693553515
citrifolia,Pegoscapus_aerumnosus,JRAS02673_0189,209.0531915,94,61.38550265,94,15.20212766,94,9.559749611,94,193.8510638,94,55.70601741,94,0.070747492,94,0.034287767,94,0.447619048,325,38,0.101699464,0.592617206,0.653037262,0.306645633,5.699315865,6.693553515
costaricana,Pegoscapus_estherae,JRAS06798_0189,114,18,NA,NA,10.26,18,NA,NA,103.74,18,NA,NA,0.09,18,NA,NA,0.4,340,NA,NA,NA,NA,0.306645633,5.699315865,6.693553515
citrifolia,Pegoscapus_franki,JRAS02875_0189,72,9,32.74141109,9,6.888888889,9,4.807401701,9,65.11111111,9,29.16952367,9,0.102111111,9,0.067711602,9,0.531161473,325,38,0.534155745,3.241058186,3.637934566,0.306645633,5.699315865,6.693553515
paraensis,Pegoscapus_herrei,JRAS06795_0189,247.7,58,36.1,58,13.5,58,17.9,58,234.2,58,40.6,58,0.050603378,58,0.009800843,58,0.92,413,72,0.30862069,0.7,0.622413793,0.306645633,5.699315865,6.693553515
aurea,Pegoscapus_jimenezi,JRAS00964_0189,60.375,16,21.58664711,16,5.125,16,2.305789814,16,55.25,16,20.21715443,16,0.087361103,16,0.030889195,16,0.524109015,207.8214,35.55,0.144111863,1.263572152,1.349165444,0.306645633,5.699315865,6.693553515
dugandi,Pegoscapus_longiceps,JRAS02182_0189,137.4,33,29.7,33,12.9,33,7.1,33,124.5,33,31.9,33,0.095952151,33,0.001680999,33,0.56,400,NA,0.215151515,0.966666667,0.9,0.306645633,5.699315865,6.693553515
near_trigonata,Pegoscapus_lopesi,JRAS06797_0189,285.3,40,114.1,40,31.8,40,34.6,40,253.6,40,99,40,0.103498326,40,0.015128423,40,0.31,1454,323,0.865,2.475,2.8525,0.306645633,5.699315865,6.693553515
colubrinae_or_columbrinae,Pegoscapus_orozcoi,JRAS06788_0189,84,43,NA,NA,6.72,43,NA,NA,77.28,43,NA,NA,0.08,43,NA,NA,0.99,197,18,NA,NA,NA,0.306645633,5.699315865,6.693553515
nymphaefolia,Pegoscapus_piceipes,JRAS02168_0189,247.2,56,40.2,56,15.1,56,5.6,56,232.1,56,39.4,56,0.061465232,56,0.002024999,56,0.55,675,113,0.1,0.703571429,0.717857143,0.306645633,5.699315865,6.693553515
pertusa,Pegoscapus_silvestrii,JRAS00991_0189,120.5,59,19.5,59,13.7,59,17.9,59,106.8,59,22.5,59,0.108684883,59,0.019319798,59,0.9,213,13,0.303389831,0.381355932,0.330508475,0.306645633,5.699315865,6.693553515
turbinata,Pegoscapus_sp.,JRAS02846_0189,114,43,NA,NA,7.98,43,NA,NA,106.02,43,NA,NA,0.07,43,NA,NA,0.75,299,38,NA,NA,NA,0.306645633,5.699315865,6.693553515
crocata,Pegoscapus_sp.,JRAS02871_0189,468.4,17,162.4,17,102.6,17,47.9,17,365.8,17,116.5,17,0.220945672,17,0.003480993,17,0.09,2051,303,2.817647059,6.852941176,9.552941176,0.306645633,5.699315865,6.693553515
citrifolia,Pegoscapus_tonduzi,JRAS02284_0189,163.3,96,33.9,96,9.2,96,4.4,96,154.1,96,31.5,96,0.054262336,96,0.002303998,96,0.78,331,62,0.045833333,0.328125,0.353125,0.306645633,5.699315865,6.693553515
yoponensis,Tetrapus_ecuadoranus,JRAS02180_0189,127.6,37,43.7,37,15.5,37,9.2,37,112.1,37,37.6,37,0.120118256,37,0.005183977,37,0.58,359,96,0.248648649,1.016216216,1.181081081,0.306645633,5.699315865,6.693553515
insipida,Tetrapus_sp,JRAS06802_0189,153.8,54,72,54,22.5,54,21.4,54,131.3,54,59.9,54,0.141650967,54,0.008648892,54,0.27,1230,227,0.396296296,1.109259259,1.333333333,0.306645633,5.699315865,6.693553515